hotel_id,user,home_town,stay_date,rate
1,Marc S,,March 2018,5.0
1,LingMei11,"Shenzhen, China",March 2018,4.0
1,DougBot,"San Diego, California",February 2018,5.0
1,JaFlinn,San Diego,February 2018,5.0
1,Richard M,,February 2018,5.0
1,Bethw60795,"Philadelphia, Pennsylvania",February 2018,4.0
1,DanielleMarcos,"Palmetto, Florida",January 2018,4.0
1,tgdubv,,February 2018,5.0
1,Rick L,"Ventura, California",February 2017,4.0
1,programmer437,"Charlotte, North Carolina",October 2017,5.0
1,David P,"Hua Hin, Thailand",December 2017,2.0
1,saimanso,"Hong Kong, China",December 2017,4.0
1,buiduchanh,"Hanoi, Vietnam",November 2017,4.0
1,stig V,,October 2017,2.0
1,Kay Non,"Bangkok, Thailand",October 2017,5.0
1,Maddin_F-Town,"Bophut, Thailand",April 2017,4.0
1,Michael T,,April 2017,5.0
1,Yeepoon,"Phuket, Thailand",March 2017,5.0
1,wittayayutt,"Bangkok, Thailand",December 2016,5.0
1,Jerome Wood,"Phrae, Thailand",April 2017,3.0
1,Margaret E,,April 2017,5.0
1,TomK_Chicago,"Chicago, Illinois",March 2017,4.0
1,Brooke G,"Echuca, Australia",March 2017,3.0
1,Jennifer P,Victoria,March 2017,4.0
1,Steven K,"San Diego, California",March 2017,5.0
1,Craig P,"Chiang Mai, Thailand",March 2017,1.0
1,Brian C,"Fresno, California",February 2017,5.0
1,Leo R,"Singapore, Singapore",February 2017,3.0
1,Regina W,"Newton, Massachusetts",February 2017,4.0
1,Saran S,"Bangkok, Thailand",February 2017,3.0
1,TCW1953,"Rochester, Michigan",February 2017,4.0
1,AGT1,"Bangkok, Thailand",February 2017,5.0
1,Piengrudee O,,January 2017,5.0
1,Daniel B,"Sydney, Australia",January 2017,5.0
1,jajavalB,"Bangkok, Thailand",January 2017,3.0
1,Goigoi H,,January 2017,3.0
1,cholranop b,Hatyai,January 2017,4.0
1,dbbuzz17,"Madison, Wisconsin",December 2016,5.0
1,Andrew M,"Jakarta, Indonesia",December 2016,3.0
1,Achara C,"Udon Thani, Thailand",December 2016,5.0
1,foodandwine28,"San Francisco, California",December 2016,3.0
1,TravelingWoman001,"Henderson, Nevada",December 2016,5.0
1,VT94588,"Pleasanton, California",December 2016,3.0
1,masuke,"Washington, DC area",December 2016,5.0
1,angel_jitty,"Bangkok, Thailand",December 2016,5.0
1,LoveFLSun,"Saint Augustine, FL",December 2016,5.0
1,SpicyCEO,"New York City, New York",December 2016,5.0
